Material Number,Old Material Number,   ,UOM,Qty (Unrestricted),Image Link,Image Count,Has Image?
SE-MOTORS-000397,,SQUARING HEAD MOTOR 5.5KW ( 100108546 ),EA,1,,,No
SM-BEARING-001277,,BEARING BASE ASSY (G0103.06.01.04) 600/0,EA,4,,,No
SM-MISLMECH-004861,SM004-3653A,SCRAPER AOGAC0004 CBR008 BT956,EA,2,,,No
SM-MISLMECH-008025,,COMPLETE UNIT (FIG.1-13  PAGE 27),EA,4,,,No
SM-SHAFT-000389,SM014-3540A,SHAFT 000-21434 CBR008 BT956,EA,1,,,No
SM-SHAFTS-000589,,DRIVE SHAFT ASSY (G0103.06.01.03) 600/06,EA,4,,,No
SM-SPROCKETS-000309,,DRIVE CHAIN WHEEL( G0103.06.01.02 )600/6,EA,2,,,No
SE-CARDS-000030,"SE007-3155A,SN707.385",CARD ( MVME 162-010A )  MAIN PANEL,EA,1,View Image,1,Yes
SE-CARDS-000075,"SE007-3156A,SN707.386",CARD (10B-80) MAIN PANEL(SHUNTING UNIT),EA,1,View Image,1,Yes
SE-INDUSTPCS-000019,,INDUSTRIAL PANEL PC IPPC2156S KEDA 600/6,EA,1,View Image,1,Yes
SE-MISELECT-000187,"SE020-3209A,SN707.388",CONSOLE 12C-MAIN PANEL (SHUNTING UNIT),EA,1,View Image,1,Yes
SE-POWERSUP-000027,"SE017-3027A,SN707.384",POWER SUPPLY ( PG 1220 SERIES 230V ),EA,1,View Image,1,Yes
SM-COUPLINGS-000036,"SM010-3089A,SN109.020",ELASTIC JOINT COUPLING ( SB1128 ),EA,1,,,No
SM-FILTERS-000073,SM021-3742A,LC12 FILTERING CARTRIDGE,EA,1,,,No
SM-GASKETS-000097,"SM004-3868A,SN340.157","GASKET (PH20004004)TAB 0702,POS08 PH2590",EA,2,,,No
SM-GASKETS-000227,"SM004-3492A,SN112.082",SET OF GASKETS ( PPB30801901 ),EA,8,View Image,1,Yes
SM-GASKETS-000310,"SM004-3466A,SN112.025",SET OF GASKETS ( PPB31301900 ),EA,8,View Image,1,Yes
SM-MISLMECH-000459,"SM016-4057A,SN309.009.2",BARRIER ( 01.02.276 ),EA,1,,,No
SM-MISLMECH-000468,"SM016-4328A,SN323.013.2",EJECTOR ( CAS141001036 ),EA,2,,,No
SM-MISLMECH-000469,SM021-3052A,"EJECTOR ( DCL17505022 )TAV 1340.007,POS3",EA,2,View Image,1,Yes
SM-MISLMECH-000767,"SM016-3907A,SN720.481",JOINT ( 8116007300 ) TAV.3,EA,1,,,No
SM-MISLMECH-000937,"SM016-4946A,SN450.073",CAP (9031022),EA,1,,,No
SM-MISLMECH-000956,SM021-3530A,PAD ( 80044955 ),EA,24,,,No
SM-MISLMECH-001117,"SM016-4455A,SN343.004",POCKET ( 05220018 ),EA,1,,,No
SM-MISLMECH-001118,SM016-9941A,"POCKET ( 05220018 )TAV 2879.005 , POS 01",EA,1,,,No
SM-MISLMECH-001119,SM016-9920A,"POCKET ( 05220019 ) TAV 3063.A , POS 18",EA,2,,,No
SM-MISLMECH-001120,"SM016-3526A,SN112.319",POCKET ( 05220030 )   PPB 313,EA,2,,,No
SM-MISLMECH-001121,"SM016-3596A,SN130.012","POCKET ( 05220066 ) TAB 0505 , POS 03",EA,2,,,No
SM-MISLMECH-001122,SM016-9922A,"POCKET ( 05220157 )TAV 2879.001 , POS 01",EA,4,View Image,1,Yes
SM-MISLMECH-001123,"SM016-3697A,SN301.033.2",POCKET ( 5220019 ),EA,2,,,No
SM-MISLMECH-001124,"SM016-3595A,SN130.009","POCKET (05220018) TAB 1499.C03, POS 17",EA,2,,,No
SM-MISLMECH-001125,SM016-7367A,"POCKET( 05220018 )TAV 1499.C , POS 17",EA,1,,,No
SM-MISLMECH-001280,SM016-9625A,"RING ( 05049273 ) TAB 0703.001 , POS 16",EA,1,,,No
SM-MISLMECH-001327,SM016-6951A,COIL ( 90003363 ) FOR MAGNET BOBINS,EA,3,,,No
SM-MISLMECH-001329,SM016-6952A,COIL ( 90003367 )  FOR MAGNET BOBINS,EA,3,,,No
SM-MISLMECH-001357,"SM016-4324A,SN323.001.2",SCRAPER ( CAF17505006 ),EA,29,View Image,1,Yes
SM-MISLMECH-001360,SM021-3611A,"SCRAPER ( DCL17502103 ) TAV0472.002,POS6",EA,1,,,No
SM-MISLMECH-001361,SM021-3051A,"SCRAPER ( DCL17505025 )TAV 1340.007,POS2",EA,2,View Image,1,Yes
SM-MISLMECH-001625,"SM016-4675A,SN404.073",SPATTLE GROUP VULK.64SH ( 1300405015 ),EA,1,,,No
SM-MISLMECH-002358,"SM016-3719A,SN301.085",P0CKET ( 5220022 ),EA,2,,,No
SM-MISLMECH-002501,SM021-4150A,POCKET ( 05220202 ),EA,2,,,No
SM-MISLMECH-002502,"SM016-3724A,SN301.105",POCKET ( 52220031 ),EA,1,,,No
SM-MISLMECH-002503,"SM016-4284A,SN320.053.2",POCKET (5.220.021),EA,1,,,No
SM-MISLMECH-002505,SM016-7077A,POKET ( EBV10. 40/90 ) ATM52,EA,2,,,No
SM-MISLMECH-002689,"SM016-3794A,SN301.397",RESIN CANS FOR MAGNET BOBINS( 90031028 ),EA,1,,,No
SM-MISLMECH-002939,"SM016-5927A,SN700.612",SOLVENT ( 5900632 ),EA,1,,,No
SM-MISLMECH-003113,"SM014-3398A,SN707.208",STRAPPING HEAD ASSEMBLY -TR 100 (OMS),EA,1,View Image,1,Yes
SM-MISLMECH-003121,"SM016-4003A,SN306.025",STRIP ( EVA 11110042 ),EA,12,,,No
SM-MISLMECH-003734,"SM016-4426A,SN340.158","ROPE (05650011) TAB 0702,POS 10  PH2590",M,6,,,No
SM-MISLMECH-006534,"SM016-4456A,SN343.005",POCKET ( 05220202 ) PH2090 N343,EA,4,View Image,1,Yes
SM-MISLMECH-006702,,POCKET ( 05220022 ),EA,1,,,No
SM-MISLMECH-006733,,BUBBLER ( CCT+0003244 ) 600/4,EA,1,,,No
SM-MISLMECH-006787,,STEEL PINS+RUBBER PADS KIT ( 03325125 ),EA,1,View Image,1,Yes
SM-ORING-000054,"SM004-3330A,SN101.432","RING ( 05051032 ) TAB 0072 , POS 32",EA,2,,,No
SM-ORING-000324,"SM004-4193A,SN707.398",RING ( 122854801 ) CPK EVERY/90,EA,1,,,No
SM-PUMPS-000014,SM021-3743A,LC12 500CC SPARE PUMP OIL,EA,1,,,No
SM-REPAIRKIT-000042,SM021-3741A,LC12 OIL AND MIST ELIMINATOR ELEMENT KIT,EA,1,,,No
SM-WHEELS-000315,SM013-3814A,"WHEEL ( PM181-0014 ) TAV 1.3 , POS 14",EA,1,View Image,1,Yes
SM-WHEELS-000316,SM013-3815A,"WHEEL ( PM181-0020 ) TAV 4.0 , POS 12",EA,1,View Image,1,Yes
SE-DRIVERS-000033,SE020-4905A,"YASAKAWA INVERTER 0.4KW,V1000,200V",EA,2,,,No
SE-DRIVERS-000034,SE020-4904A,"YASAKAWA INVERTER 0.75KW,V1000,200V",EA,2,,,No
SE-DRIVERS-000110,,YASKAWA V1000 INVERTER 3.0KW/2.2KW 400V,EA,1,View Image,1,Yes
SE-DRIVERS-000112,,YASKAWA V1000 INVERTER 4KW/5.5KW 400V,EA,1,View Image,1,Yes
SE-DRIVERS-000117,,VFD 1.5KW/0.75KW 400V ( 100050814 )600/6,EA,3,View Image,1,Yes
SM-GASKETS-000060,"SM004-3429A,SN109.306",GASKET ( 15274001 ),EA,1,,,No
SM-GASKETS-000123,"SM004-3434A,SN109.322","GASKET ""V""(15274001)TAB03,POS03 SPB-121D",EA,6,,,No
SM-BEARING-000864,"SM007-3663A,SN800.009",RUBBER SLEEVE,EA,1,,,No
SM-GASKETS-000010,"SM004-4205A,SN800.003",CAGE GASKET- FD04,EA,7,,,No
SM-MISLMECH-000933,"SM004-4208A,SN800.051",NUT (SEAL TYPE),EA,2,,,No
SM-MISLMECH-001519,"SM010-3375A,SN800.008",CONDENSING DRAIN -PIPE,EA,1,,,No
SM-MISLMECH-003300,"SM016-6841A,SN800.011",WASHING ELECTRONIC,EA,2,,,No
SM-MISLMECH-005834,SM010-3388A,HOSE CLIP 100,EA,25,,,No
SM-PNEUMATIC-000001,"SM016-3948K,SN800.013",CYLINDER,EA,1,,,No
SM-VALVES-000026,"SM011-3402A,SN800.034",GATE VALVE (Q-01652.00 ) DAMPER 90MM,EA,1,,,No
SM-BEARING-000552,"SM007-3561A,SN106.002",BEARING ( ASP11001033 ),EA,14,,,No
SM-BUSHINGS-000132,"SM017-3021A,SN106.001",BUSHING ( ASP11002116 ),EA,2,,,No
SM-COUPLINGS-000054,"SM016-6643A,SN106.045","COUPLING (03101574)TAV 0001,POS24 ASP210",EA,1,,,No
SM-GASKETS-000172,"SM004-3392A,SN106.031","GASKET (05008122) TAB 0001,POS 11 ASP210",EA,3,,,No
SM-GASKETS-000428,"SM004-3387A,SN106.008",GASKET ( 5008317 )   POS 50,EA,37,,,No
SM-GASKETS-000497,"SM004-3385A,SN106.",GASKET  5008335   POS 41,EA,7,,,No
SM-MISLMECH-002338,"SM016-3370A,SN106.029","NUT ( 06055218 ) FIG 09 , TABLE 1000",EA,8,,,No
